tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,24,160,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,0,0,False,True,SB,QC 4S,2C 2H 6S 8S JH,9.08,Pair,0.0
150,20180810125958249,24,160,4e0879c5e51ac597357450b296c5bc3b,False,True,True,5847,0,False,True,BB,9C 9D,2C 2H 6S 8S JH,43.0256,Two Pair,5847.0
150,20180810125958249,24,160,71b3f31e76d1a5888a5652aba6474197,False,True,True,3423,0,True,False,1,8D 7D,2C 2H 6S 8S JH,37.0256,Two Pair,0.0
150,20180810125958249,24,160,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6661,0,False,False,2,8H KS,2C 2H 6S 8S JH,37.1024,Two Pair,5874.0
150,20180810125958249,25,160,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,2H JS 5S 8C 6D,,,0.0
150,20180810125958249,25,160,e55c711e6dbac6abb296dd1379310b58,False,True,True,2069,0,True,False,D,5C 3D,2H JS 5S 8C 6D,12.0296,Pair,0.0
150,20180810125958249,25,160,1c7e0ca445fee61ec9caabb5003b044b,False,True,False,0,0,False,False,,,2H JS 5S 8C 6D,,,0.0
150,20180810125958249,25,160,4e0879c5e51ac597357450b296c5bc3b,False,True,True,6167,0,False,False,SB,9H QC,2H JS 5S 8C 6D,6.036,High Card,800.0
150,20180810125958249,25,160,71b3f31e76d1a5888a5652aba6474197,False,True,True,3103,0,True,False,BB,7H 4H,2H JS 5S 8C 6D,116.0,Straight,0.0
150,20180810125958249,25,160,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6661,0,True,False,1,3S 7C,2H JS 5S 8C 6D,5.006,High Card,0.0
150,20180810125958249,26,160,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,AD 5D 7S 2D 8H,,,0.0
150,20180810125958249,26,160,e55c711e6dbac6abb296dd1379310b58,False,True,True,149,0,True,False,1,4H KS,AD 5D 7S 2D 8H,8.1076,High Card,0.0
150,20180810125958249,26,160,1c7e0ca445fee61ec9caabb5003b044b,False,True,False,0,0,False,False,,,AD 5D 7S 2D 8H,,,0.0
150,20180810125958249,26,160,4e0879c5e51ac597357450b296c5bc3b,False,True,True,8567,0,False,False,D,3S QS,AD 5D 7S 2D 8H,8.0564,High Card,4640.0
150,20180810125958249,26,160,71b3f31e76d1a5888a5652aba6474197,False,True,True,2943,0,True,False,SB,JD 2H,AD 5D 7S 2D 8H,9.2336,Pair,0.0
150,20180810125958249,26,160,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6341,0,True,False,BB,QD 3H,AD 5D 7S 2D 8H,8.0564,High Card,0.0
150,20180810125958249,27,160,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,3H 8H QC 5H 5D,,,0.0
150,20180810125958249,27,160,e55c711e6dbac6abb296dd1379310b58,False,True,True,447,0,False,True,BB,6C 6S,3H 8H QC 5H 5D,31.0512,Two Pair,447.0
150,20180810125958249,27,160,1c7e0ca445fee61ec9caabb5003b044b,False,True,False,0,0,False,False,,,3H 8H QC 5H 5D,,,0.0
150,20180810125958249,27,160,4e0879c5e51ac597357450b296c5bc3b,False,True,True,8407,0,True,False,1,6D 4H,3H 8H QC 5H 5D,12.0552,Pair,0.0
150,20180810125958249,27,160,71b3f31e76d1a5888a5652aba6474197,False,True,True,2943,0,True,False,D,9H 4D,3H 8H QC 5H 5D,12.0608,Pair,0.0
150,20180810125958249,27,160,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6203,0,False,False,SB,KH 4C,3H 8H QC 5H 5D,12.1568,Pair,22.0
